TF,AUPRC,Random expectation,p-value,Full model / random,For SHAP analysis,TF binding only,Binding / random,GEX only,GEX / random
YLR403W (SFP1),0.49,0.4,3.7e-20,1.22,TRUE,0.47,1.16,0.5,1.24
YEL009C (GCN4),0.41,0.31,7.0e-33,1.32,TRUE,0.41,1.32,0.39,1.25
YLR451W (LEU3),0.28,2.69e-02,0,10.42,TRUE,0.26,9.7,0.07,2.43
YDR034C (LYS14),0.23,6.61e-02,1.6e-111,3.52,TRUE,0.19,2.88,0.13,1.9
YIL036W (CST6),0.19,6.48e-03,0,29.43,TRUE,0.13,20.66,0.03,3.96
YPL248C (GAL4),0.19,0.1,2.4e-30,1.83,TRUE,0.17,1.6,0.14,1.4
YJR060W (CBF1),0.19,7.19e-02,2.5e-39,2.64,TRUE,0.19,2.68,0.1,1.35
YNL199C (GCR2),0.17,1.96e-02,7.4e-259,8.83,TRUE,0.12,6.26,0.09,4.55
YMR182C (RGM1),0.14,1.94e-02,4.3e-109,7.23,TRUE,0.13,6.63,0.03,1.48
YJL056C (ZAP1),0.13,0.11,2.8e-04,1.18,TRUE,0.12,1.11,0.12,1.13
YKL038W (RGT1),0.12,1.18e-02,6.9e-146,9.8,TRUE,0.13,10.8,0.01,1.25
YOR344C (TYE7),0.11,3.55e-02,4.4e-50,3.1,TRUE,0.09,2.57,0.08,2.38
YOL108C (INO4),9.71e-02,2.9e-02,4.0e-37,3.35,TRUE,0.09,3.23,0.04,1.24
YPL075W (GCR1),2.49e-02,3.24e-03,9.2e-59,7.69,TRUE,0.02,7.58,0.04,11.6
