TF,AUPRC,Random expectation,p-value,Full model / random,For SHAP analysis,TF binding only,Binding / random,GEX only,GEX / random
YEL009C (GCN4),0.45,0.31,1.9e-12,1.44,TRUE,0.42,1.35,0.37,1.2
YHR178W (STB5),0.28,9.6e-02,1.4e-21,2.96,TRUE,0.21,2.15,0.16,1.71
YLR256W (HAP1),0.24,0.12,4.8e-16,2.0,TRUE,0.17,1.45,0.17,1.45
YLR451W (LEU3),0.24,2.69e-02,1.8e-43,8.9,TRUE,0.15,5.42,0.07,2.75
YBL103C (RTG3),0.23,7.95e-02,9.8e-48,2.93,TRUE,0.09,1.12,0.18,2.31
YAL051W (OAF1),0.22,0.1,2.4e-28,2.14,TRUE,0.11,1.09,0.16,1.57
YJR060W (CBF1),0.21,7.19e-02,2.0e-06,2.89,TRUE,0.18,2.53,0.1,1.36
YNL199C (GCR2),0.19,1.96e-02,1.4e-44,9.65,TRUE,0.15,7.4,0.07,3.45
YOR344C (TYE7),0.18,3.55e-02,5.0e-18,4.98,TRUE,0.12,3.35,0.08,2.25
YOL067C (RTG1),0.17,1.91e-02,2.7e-25,9.12,TRUE,0.09,4.69,0.06,3.03
YKL038W (RGT1),0.17,1.18e-02,6.0e-08,14.27,TRUE,0.17,14.21,0.02,1.48
YOR363C (PIP2),0.15,6.8e-03,4.6e-08,22.55,TRUE,0.11,16.01,0.01,1.05
YOL108C (INO4),7.68e-02,2.9e-02,0.013909455011320881,2.65,FALSE,0.05,1.87,0.04,1.46
YMR280C (CAT8),4.62e-02,1.43e-02,0.13249413905334756,3.24,FALSE,0.04,2.82,0.01,0.94
YBR239C (ERT1),4.52e-02,3.24e-03,0.041656591144578564,13.94,FALSE,0.09,29.15,0.0,1.28
YJL089W (SIP4),4.31e-02,1.62e-03,0.1711805053423181,26.62,FALSE,0.03,18.69,0.0,0.74
YPL075W (GCR1),4.18e-02,3.24e-03,0.13449143591065332,12.91,FALSE,0.02,7.07,0.03,8.43
YGL162W (SUT1),2.23e-02,1.09e-02,0.36214941455549204,2.06,FALSE,0.02,1.44,0.02,1.44
YPL133C (RDS2),6.68e-03,8.42e-03,0.07560444679235552,0.79,FALSE,0.01,1.0,0.01,1.01
