TF,AUPRC,Random expectation,p-value,Full model / random,For SHAP analysis,TF binding only,Binding / random,GEX only,GEX / random
ENSG00000179388 (EGR3),0.45,0.19,1.6e-86,2.33,TRUE,0.3,1.57,0.32,1.7
ENSG00000185591 (SP1),0.45,0.23,5.9e-29,1.93,TRUE,0.34,1.46,0.36,1.56
ENSG00000174332 (GLIS1),0.42,0.15,6.1e-160,2.71,TRUE,0.24,1.56,0.28,1.83
ENSG00000172006 (ZNF554),0.41,0.25,9.0e-33,1.65,TRUE,0.29,1.19,0.36,1.47
ENSG00000118922 (KLF12),0.4,0.18,1.8e-121,2.2,TRUE,0.21,1.14,0.29,1.61
ENSG00000105866 (SP4),0.38,0.18,2.1e-61,2.07,TRUE,0.24,1.29,0.29,1.58
ENSG00000181315 (ZNF322),0.36,0.13,0,2.86,TRUE,0.14,1.11,0.25,1.95
ENSG00000102974 (CTCF),0.36,0.15,2.1e-146,2.42,TRUE,0.18,1.23,0.29,1.95
ENSG00000125945 (ZNF436),0.36,0.15,7.8e-164,2.35,TRUE,0.17,1.11,0.27,1.77
ENSG00000167182 (SP2),0.35,0.18,8.3e-50,1.94,TRUE,0.24,1.32,0.26,1.44
ENSG00000057657 (PRDM1),0.35,0.12,1.7e-294,2.87,TRUE,0.15,1.24,0.23,1.85
ENSG00000169957 (ZNF768),0.32,0.18,2.3e-76,1.8,TRUE,0.18,1.02,0.29,1.59
ENSG00000267680 (ZNF224),0.31,0.12,0,2.72,TRUE,0.12,1.01,0.22,1.87
ENSG00000197134 (ZNF257),0.31,0.13,2.4e-212,2.4,TRUE,0.13,1.06,0.21,1.62
ENSG00000065029 (ZNF76),0.29,0.15,9.0e-90,1.95,TRUE,0.16,1.05,0.25,1.67
ENSG00000096654 (ZNF184),0.29,9.98e-02,0,2.92,TRUE,0.1,1.02,0.2,2.02
ENSG00000180257 (ZNF816),0.29,0.14,4.8e-132,2.07,TRUE,0.14,1.04,0.23,1.68
ENSG00000122877 (EGR2),0.29,0.11,1.6e-150,2.52,TRUE,0.15,1.28,0.22,1.93
ENSG00000105732 (ZNF574),0.28,0.12,2.2e-190,2.37,TRUE,0.12,1.04,0.22,1.86
ENSG00000118263 (KLF7),0.27,9.31e-02,0,2.95,TRUE,0.1,1.06,0.17,1.81
ENSG00000197928 (ZNF677),0.27,8.97e-02,0,3.04,TRUE,0.09,1.02,0.16,1.8
ENSG00000189180 (ZNF33A),0.27,0.11,2.6e-235,2.5,TRUE,0.11,1.04,0.2,1.88
ENSG00000171163 (ZNF692),0.27,9.94e-02,1.3e-309,2.7,TRUE,0.1,1.01,0.2,2.06
ENSG00000083812 (ZNF324),0.26,8.43e-02,0,3.14,TRUE,0.08,0.97,0.18,2.08
ENSG00000204859 (ZBTB48),0.26,7.81e-02,0,3.38,TRUE,0.09,1.1,0.18,2.25
ENSG00000213762 (ZNF134),0.26,0.11,7.2e-218,2.45,TRUE,0.12,1.09,0.18,1.73
ENSG00000179922 (ZNF784),0.26,0.14,1.7e-78,1.84,TRUE,0.15,1.05,0.24,1.73
ENSG00000130803 (ZNF317),0.25,0.13,4.7e-85,1.97,TRUE,0.14,1.08,0.23,1.77
ENSG00000182141 (ZNF708),0.24,5.27e-02,0,4.48,TRUE,0.05,1.01,0.11,2.15
ENSG00000117010 (ZNF684),0.23,8.66e-02,0,2.71,TRUE,0.09,1.02,0.17,1.93
ENSG00000170631 (ZNF16),0.23,7.43e-02,0,3.13,TRUE,0.08,1.05,0.17,2.3
ENSG00000128610 (FEZF1),0.23,7.2e-02,0,3.17,TRUE,0.08,1.08,0.14,1.92
ENSG00000085274 (MYNN),0.23,7.09e-02,0,3.2,TRUE,0.07,1.0,0.14,1.93
ENSG00000181007 (ZFP82),0.22,6.79e-02,0,3.31,TRUE,0.07,1.01,0.15,2.22
ENSG00000020256 (ZFP64),0.22,5.27e-02,0,4.25,TRUE,0.06,1.05,0.15,2.78
ENSG00000196150 (ZNF250),0.22,6.34e-02,0,3.42,TRUE,0.06,0.97,0.14,2.24
ENSG00000105497 (ZNF175),0.21,6.5e-02,0,3.29,TRUE,0.07,1.05,0.14,2.1
ENSG00000196653 (ZNF502),0.21,5.9e-02,0,3.5,TRUE,0.06,0.99,0.13,2.17
ENSG00000161298 (ZNF382),0.21,6.85e-02,0,3.0,TRUE,0.07,1.06,0.15,2.22
ENSG00000162702 (ZNF281),0.2,5.58e-02,0,3.65,TRUE,0.07,1.21,0.13,2.28
ENSG00000272602 (ZNF595),0.2,6.12e-02,0,3.32,TRUE,0.06,0.99,0.15,2.45
ENSG00000196724 (ZNF418),0.2,5.71e-02,0,3.54,TRUE,0.06,1.02,0.15,2.59
ENSG00000099326 (MZF1),0.2,6.05e-02,0,3.31,TRUE,0.06,0.96,0.15,2.42
ENSG00000204366 (ZBTB12),0.2,8.31e-02,3.7e-207,2.39,TRUE,0.09,1.04,0.15,1.78
ENSG00000160908 (ZNF394),0.2,8.0e-02,2.4e-242,2.46,TRUE,0.08,1.0,0.16,1.94
ENSG00000149050 (ZNF214),0.2,6.73e-02,0,2.9,TRUE,0.07,1.01,0.13,1.92
ENSG00000172748 (ZNF596),0.19,7.61e-02,2.2e-239,2.5,TRUE,0.08,1.1,0.13,1.77
ENSG00000261678 (SCRT1),0.19,6.76e-02,0,2.81,TRUE,0.07,1.0,0.14,2.05
ENSG00000204532 (ZSCAN5C),0.18,4.79e-02,0,3.83,TRUE,0.05,1.05,0.11,2.3
ENSG00000170100 (ZNF778),0.18,4.52e-02,0,3.99,TRUE,0.05,1.05,0.1,2.29
ENSG00000198039 (ZNF273),0.18,4.69e-02,0,3.83,TRUE,0.05,1.06,0.11,2.28
ENSG00000136870 (ZNF189),0.18,5.11e-02,0,3.49,TRUE,0.07,1.35,0.12,2.34
ENSG00000167555 (ZNF528),0.18,5.94e-02,0,2.96,TRUE,0.07,1.16,0.13,2.21
ENSG00000173041 (ZNF680),0.17,7.5e-02,1.8e-212,2.33,TRUE,0.08,1.05,0.11,1.53
ENSG00000179627 (ZBTB42),0.17,5.76e-02,0,2.97,TRUE,0.07,1.29,0.12,2.04
ENSG00000163795 (ZNF513),0.17,5.3e-02,0,3.17,TRUE,0.05,1.01,0.11,2.16
ENSG00000178229 (ZNF543),0.17,4.87e-02,0,3.4,TRUE,0.05,1.01,0.11,2.27
ENSG00000100811 (YY1),0.16,7.45e-02,2.0e-130,2.2,TRUE,0.08,1.1,0.14,1.91
ENSG00000018869 (ZNF582),0.16,5.02e-02,0,3.26,TRUE,0.05,1.04,0.11,2.16
ENSG00000181894 (ZNF329),0.16,4.93e-02,0,3.18,TRUE,0.05,1.01,0.11,2.13
ENSG00000085644 (ZNF213),0.15,2.57e-02,0,6.01,TRUE,0.03,1.02,0.08,2.95
ENSG00000182318 (ZSCAN22),0.15,5.34e-02,0,2.83,TRUE,0.05,1.01,0.12,2.2
ENSG00000105136 (ZNF419),0.15,3.23e-02,0,4.58,TRUE,0.03,1.02,0.1,2.98
ENSG00000256683 (ZNF350),0.15,4.49e-02,0,3.25,TRUE,0.05,1.01,0.09,2.03
ENSG00000164920 (OSR2),0.15,3.87e-02,0,3.75,TRUE,0.05,1.35,0.09,2.32
ENSG00000105750 (ZNF85),0.14,3.65e-02,0,3.92,TRUE,0.04,1.05,0.08,2.16
ENSG00000198146 (ZNF770),0.14,3.66e-02,0,3.89,TRUE,0.04,1.06,0.1,2.61
ENSG00000180787 (ZFP3),0.13,4.28e-02,0,3.09,TRUE,0.04,1.03,0.08,1.92
ENSG00000167554 (ZNF610),0.13,4.32e-02,0,2.96,TRUE,0.05,1.15,0.08,1.8
ENSG00000196867 (ZFP28),0.12,3.07e-02,0,4.03,TRUE,0.03,1.02,0.08,2.76
ENSG00000188295 (ZNF669),0.12,2.61e-02,0,4.55,TRUE,0.03,1.06,0.06,2.3
ENSG00000155090 (KLF10),0.12,4.83e-02,6.4e-88,2.46,TRUE,0.09,1.89,0.08,1.61
ENSG00000147124 (ZNF41),0.12,1.39e-02,0,8.46,TRUE,0.01,1.01,0.08,5.8
ENSG00000188033 (ZNF490),0.11,3.21e-02,0,3.56,TRUE,0.03,1.07,0.08,2.48
ENSG00000198046 (ZNF667),0.11,3.13e-02,0,3.55,TRUE,0.03,1.03,0.08,2.47
ENSG00000178187 (ZNF454),0.11,3.92e-02,0,2.8,TRUE,0.04,1.1,0.07,1.84
ENSG00000197372 (ZNF675),0.11,3.72e-02,0,2.95,TRUE,0.04,1.06,0.08,2.08
ENSG00000173275 (ZNF449),0.1,1.61e-02,0,6.31,TRUE,0.02,1.06,0.05,2.91
ENSG00000181444 (ZNF467),7.78e-02,3.14e-02,9.9e-185,2.48,TRUE,0.04,1.2,0.06,2.01
ENSG00000182986 (ZNF320),5.23e-02,6.23e-03,0,8.4,TRUE,0.01,0.93,0.03,5.52
