TF,AUPRC,Random expectation,p-value,Full model / random,For SHAP analysis,TF binding only,Binding / random,GEX only,GEX / random
ENSG00000113658 (SMAD5),0.63,0.21,2.3e-290,2.99,TRUE,0.31,1.49,0.53,2.51
ENSG00000143390 (RFX5),0.63,0.19,0,3.26,TRUE,0.22,1.13,0.54,2.79
ENSG00000105698 (USF2),0.61,0.27,1.0e-131,2.26,TRUE,0.32,1.18,0.56,2.05
ENSG00000074219 (TEAD2),0.61,0.24,7.7e-277,2.57,TRUE,0.25,1.07,0.55,2.32
ENSG00000177045 (SIX5),0.6,0.2,0,2.99,TRUE,0.22,1.11,0.52,2.56
ENSG00000131931 (THAP1),0.58,0.22,2.9e-225,2.67,TRUE,0.27,1.23,0.52,2.37
ENSG00000185591 (SP1),0.58,0.19,5.8e-293,3.02,TRUE,0.26,1.38,0.49,2.58
ENSG00000187098 (MITF),0.57,0.25,1.3e-140,2.3,TRUE,0.3,1.21,0.51,2.06
ENSG00000197905 (TEAD4),0.56,0.17,0,3.36,TRUE,0.22,1.32,0.48,2.88
ENSG00000198176 (TFDP1),0.55,0.18,0,3.07,TRUE,0.25,1.39,0.48,2.66
ENSG00000105722 (ERF),0.51,0.16,0,3.22,TRUE,0.2,1.27,0.44,2.83
ENSG00000130522 (JUND),0.49,0.15,0,3.36,TRUE,0.2,1.39,0.47,3.21
ENSG00000111206 (FOXM1),0.49,0.12,0,3.99,TRUE,0.14,1.15,0.44,3.61
ENSG00000143379 (SETDB1),0.34,7.38e-02,0,4.57,TRUE,0.08,1.04,0.27,3.67
ENSG00000162772 (ATF3),0.28,3.8e-02,0,7.38,TRUE,0.05,1.3,0.2,5.33
ENSG00000102145 (GATA1),0.25,9.16e-02,3.4e-197,2.76,TRUE,0.1,1.13,0.22,2.41
ENSG00000134138 (MEIS2),0.24,2.89e-02,0,8.37,TRUE,0.04,1.32,0.2,7.04
ENSG00000001167 (NFYA),0.23,7.11e-02,1.4e-306,3.3,TRUE,0.07,1.01,0.22,3.03
ENSG00000186918 (ZNF395),0.23,2.3e-02,0,10.14,TRUE,0.04,1.54,0.2,8.65
ENSG00000141568 (FOXK2),0.22,3.91e-02,0,5.74,TRUE,0.04,1.02,0.23,5.91
ENSG00000144161 (ZC3H8),0.22,9.46e-02,3.8e-117,2.34,TRUE,0.1,1.05,0.21,2.18
ENSG00000173039 (RELA),0.22,5.47e-02,0,3.96,TRUE,0.06,1.12,0.18,3.34
ENSG00000123358 (NR4A1),0.21,2.93e-02,0,7.28,TRUE,0.03,1.17,0.16,5.39
ENSG00000179348 (GATA2),0.2,1.03e-02,0,19.78,TRUE,0.01,1.31,0.13,12.41
ENSG00000177463 (NR2C2),0.16,3.03e-02,0,5.44,TRUE,0.03,0.99,0.13,4.32
ENSG00000120837 (NFYB),0.16,3.49e-02,0,4.57,TRUE,0.04,1.2,0.14,3.91
ENSG00000185551 (NR2F2),0.15,1.67e-02,0,8.8,TRUE,0.02,1.08,0.13,7.94
ENSG00000082641 (NFE2L1),0.14,3.08e-02,0,4.64,TRUE,0.03,1.12,0.12,3.81
ENSG00000160633 (SAFB),0.13,5.33e-02,2.5e-94,2.39,TRUE,0.07,1.27,0.14,2.58
ENSG00000126561 (STAT5A),0.11,5.33e-03,0,19.75,TRUE,0.01,1.44,0.07,12.9
ENSG00000172273 (HINFP),9.26e-02,3.52e-02,5.3e-123,2.63,TRUE,0.04,1.13,0.08,2.3
ENSG00000126746 (ZNF384),8.75e-02,1.95e-02,0,4.48,TRUE,0.03,1.41,0.08,3.84
ENSG00000112658 (SRF),4.73e-02,6.65e-03,0,7.11,TRUE,0.01,1.52,0.04,6.1
ENSG00000177485 (ZBTB33),3.35e-02,1.01e-02,1.2e-213,3.31,TRUE,0.01,1.13,0.03,3.25
ENSG00000156273 (BACH1),3.22e-02,1.69e-03,0,19.05,TRUE,0.0,1.13,0.07,39.71
ENSG00000060138 (YBX3),3.13e-02,7.92e-03,1.3e-151,3.95,TRUE,0.01,1.0,0.03,4.01
ENSG00000158773 (USF1),2.62e-02,6.71e-03,2.1e-09,3.91,TRUE,0.01,1.56,0.03,3.89
ENSG00000115816 (CEBPZ),2.35e-02,7.45e-03,3.3e-39,3.15,TRUE,0.01,0.99,0.03,3.36
ENSG00000130254 (SAFB2),2.18e-02,4.86e-03,2.1e-61,4.5,TRUE,0.0,1.0,0.02,3.75
ENSG00000106459 (NRF1),1.91e-02,5.81e-03,0,3.28,TRUE,0.01,0.89,0.06,10.03
ENSG00000166478 (ZNF143),3.6e-03,7.39e-04,2.1e-201,4.86,TRUE,0.0,1.16,0.01,6.97
ENSG00000147421 (HMBOX1),3.27e-03,7.92e-04,6.5e-05,4.13,TRUE,0.0,2.26,0.0,6.29
